"filename", "language", "JavaScript", "JSON", "Markdown", "Excel", "HTML", "CSS", "Log", "XML", "comment", "blank", "total"
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\dialog.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 4, 3, 45
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\error.ejs", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 7, 0, 21
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\fail.ejs", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 4, 1, 19
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\home.ejs", "HTML", 0, 0, 0, 0, 94, 0, 0, 0, 7, 5, 106
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\index.ejs", "HTML", 0, 0, 0, 0, 67, 0, 0, 0, 3, 4, 74
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\layout.ejs", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 4, 2, 33
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\loginOutSucc.ejs", "HTML", 0, 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\loginTimeOut.ejs", "HTML", 0, 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\optionalOrder.ejs", "HTML", 0, 0, 0, 0, 134, 0, 0, 0, 8, 6, 148
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\orderConfirm.ejs", "HTML", 0, 0, 0, 0, 93, 0, 0, 0, 12, 7, 112
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\orderRecord.ejs", "HTML", 0, 0, 0, 0, 168, 0, 0, 0, 4, 7, 179
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\orderSubmit.ejs", "HTML", 0, 0, 0, 0, 52, 0, 0, 0, 3, 7, 62
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\payPage.ejs", "HTML", 0, 0, 0, 0, 103, 0, 0, 0, 3, 4, 110
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\paymentConfirmation.ejs", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 5, 3, 90
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\paymentMethod.ejs", "HTML", 0, 0, 0, 0, 186, 0, 0, 0, 6, 6, 198
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\paymentOrder.ejs", "HTML", 0, 0, 0, 0, 61, 0, 0, 0, 8, 3, 72
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\paymentResult.ejs", "HTML", 0, 0, 0, 0, 126, 0, 0, 0, 4, 8, 138
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\requiredOrder.ejs", "HTML", 0, 0, 0, 0, 91, 0, 0, 0, 2, 9, 102
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\scholarshipRecord.ejs", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 2, 6, 89
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\suc.ejs", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 4, 1, 19
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\test.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\testFileType.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 5, 9, 56
"Total", "-", 8334, 2063, 35, 3236, 5782, 861, 4670, 12, 1846, 779, 27618
